weathertypeid,locationid,eventdate,severity
1,1198,2020-01-03,Severe
1,1199,2020-09-23,Moderate
2,486,2020-06-26,Light
1,322,2020-04-17,Severe
1,1201,2020-09-14,Severe
2,597,2020-03-25,Light
1,797,2020-03-12,Severe
1,936,2020-03-28,Severe
2,907,2020-06-19,Light
2,408,2020-02-25,Light
2,364,2020-10-28,Light
2,288,2020-05-17,Moderate
3,692,2020-01-18,Light
5,1202,2020-02-21,Severe
1,671,2020-02-18,Moderate
1,1203,2020-06-04,Moderate
1,681,2020-02-12,Severe
5,453,2020-01-24,Severe
5,876,2020-11-24,Severe
1,1204,2020-01-28,Severe
6,1205,2020-04-24,Severe
1,87,2020-10-28,Severe
2,311,2020-08-04,Moderate
3,574,2020-04-14,Light
1,1048,2020-09-14,Severe
2,688,2020-12-30,Moderate
3,419,2020-02-13,Light
2,60,2020-07-01,Light
2,18,2020-06-09,Moderate
2,406,2020-05-17,Heavy
1,1207,2020-04-08,Severe
2,516,2020-06-19,Light
2,1208,2020-01-25,Moderate
1,681,2020-09-07,Severe
2,1209,2020-05-17,Light
2,94,2020-05-27,Light
2,1210,2020-05-04,Moderate
1,1016,2020-06-29,Severe
4,1032,2020-10-12,UNK
2,1142,2020-11-15,Light
2,958,2020-05-28,Light
3,113,2020-11-12,Light
2,94,2020-06-05,Heavy
1,136,2020-02-13,Severe
2,362,2020-12-16,Light
2,212,2020-03-10,Moderate
2,425,2020-11-27,Moderate
2,48,2020-09-10,Light
2,1049,2020-09-08,Light
3,1211,2020-05-12,Light
3,909,2020-01-02,Light
2,1212,2020-01-17,Light
4,979,2020-05-24,UNK
2,317,2020-12-20,Light
2,71,2020-07-07,Light
2,698,2020-07-27,Light
2,913,2020-02-12,Light
1,719,2020-01-27,Severe
1,376,2020-05-05,Moderate
4,614,2020-05-04,UNK
1,46,2020-05-12,Severe
2,441,2020-08-02,Heavy
1,773,2020-11-29,Severe
2,130,2020-06-28,Light
2,1214,2020-09-09,Moderate
1,1165,2020-07-10,Severe
2,983,2020-02-10,Light
1,5,2020-08-23,Severe
2,449,2020-12-13,Light
2,242,2020-04-03,Light
5,1215,2020-07-14,Severe
2,488,2020-04-23,Light
2,1217,2020-03-09,Moderate
2,875,2020-03-31,Light
2,1218,2020-02-05,Light
2,56,2020-10-02,Light
4,1219,2020-05-28,UNK
2,27,2020-07-03,Light
2,244,2020-02-28,Light
2,578,2020-03-06,Light
1,765,2020-09-01,Severe
2,1080,2020-05-21,Light
5,870,2020-05-14,Severe
2,59,2020-09-16,Light
1,932,2020-09-09,Severe
2,567,2020-02-16,Light
1,685,2020-02-17,Severe
6,945,2020-01-06,Severe
2,100,2020-10-16,Light
1,1128,2020-03-17,Severe
1,248,2020-11-19,Moderate
3,1220,2020-01-21,Light
1,663,2020-01-23,Severe
2,730,2020-08-25,Light
1,3,2020-12-21,Severe
2,832,2020-12-14,Light
2,1221,2020-05-28,Light
2,208,2020-01-24,Light
5,417,2020-09-17,Severe
2,1182,2020-07-29,Light
2,678,2020-07-14,Moderate
3,286,2020-02-06,Light
1,1222,2020-11-04,Moderate
1,1223,2020-07-23,Severe
2,1103,2020-05-27,Light
1,1224,2020-07-17,Severe
2,890,2020-02-21,Light
2,454,2020-01-03,Light
2,292,2020-09-12,Light
2,1225,2020-09-12,Light
2,1226,2020-03-17,Light
2,578,2020-07-31,Light
3,1227,2020-02-17,Light
2,725,2020-07-25,Light
1,441,2020-06-09,Severe
2,604,2020-03-16,Light
2,902,2020-03-05,Light
1,865,2020-12-15,Severe
1,984,2020-04-29,Severe
2,1228,2020-12-15,Light
2,115,2020-01-02,Light
1,1100,2020-11-12,Severe
2,56,2020-06-28,Light
2,569,2020-09-10,Light
3,633,2020-02-06,Light
1,623,2020-08-28,Severe
2,1229,2020-10-29,Light
2,1230,2020-04-13,Heavy
3,3,2020-02-13,Moderate
3,228,2020-02-13,Light
4,1231,2020-01-11,UNK
2,1232,2020-03-30,Light
3,1051,2020-12-12,Light
2,650,2020-08-28,Moderate
2,37,2020-07-31,Heavy
2,707,2020-05-22,Light
2,277,2020-12-19,Light
2,1233,2020-05-17,Light
2,549,2020-11-27,Light
2,3,2020-04-30,Light
3,200,2020-04-24,Light
2,389,2020-06-11,Light
1,442,2020-10-05,Severe
3,390,2020-11-24,Light
3,937,2020-12-15,Moderate
4,127,2020-05-08,UNK
1,337,2020-06-26,Moderate
5,1181,2020-12-30,Severe
2,1236,2020-05-24,Light
2,972,2020-03-23,Light
1,704,2020-10-26,Severe
1,1142,2020-12-20,Severe
1,226,2020-10-11,Severe
2,1237,2020-02-05,Light
2,1238,2020-06-09,Moderate
1,344,2020-11-26,Moderate
1,979,2020-02-11,Moderate
1,1151,2020-02-01,Severe
2,908,2020-10-21,Light
2,721,2020-11-12,Light
2,503,2020-02-04,Light
2,885,2020-06-27,Light
2,248,2020-01-04,Light
1,15,2020-05-21,Severe
5,321,2020-07-04,Severe
5,317,2020-05-22,Severe
2,249,2020-12-02,Light
2,821,2020-05-15,Light
2,227,2020-10-24,Light
2,885,2020-04-04,Light
2,1239,2020-09-23,Light
1,163,2020-07-24,Severe
2,1078,2020-10-26,Light
2,1240,2020-04-02,Light
1,1241,2020-02-17,Severe
2,456,2020-09-01,Light
2,1242,2020-05-17,Light
1,26,2020-01-25,Severe
3,945,2020-03-25,Light
2,628,2020-02-18,Light
2,69,2020-06-20,Light
5,591,2020-08-12,Severe
2,1243,2020-04-03,Light
1,675,2020-09-03,Severe
1,1056,2020-07-13,Severe
1,337,2020-03-13,Severe
3,1041,2020-01-21,Light
1,143,2020-09-17,Severe
2,474,2020-05-08,Light
2,1167,2020-07-29,Light
3,1244,2020-01-15,Light
1,332,2020-05-23,Severe
2,182,2020-06-20,Light
3,259,2020-03-16,Light
1,571,2020-02-11,Severe
1,1137,2020-05-28,Severe
1,1165,2020-06-29,Severe
5,392,2020-05-08,Severe
2,469,2020-04-15,Light
2,1072,2020-04-23,Light
1,1246,2020-02-07,Severe
1,840,2020-08-12,Severe
2,1247,2020-02-04,Light
1,1248,2020-12-30,Severe
1,1249,2020-08-24,Moderate
4,398,2020-08-14,UNK
2,1250,2020-07-24,Light
3,132,2020-12-27,Light
2,692,2020-02-04,Light
1,357,2020-08-04,Moderate
2,571,2020-11-23,Light
1,82,2020-02-11,Severe
1,109,2020-08-21,Severe
2,1197,2020-01-10,Light
3,1251,2020-12-27,Light
2,1252,2020-05-15,Heavy
2,1009,2020-07-31,Light
1,56,2020-02-13,Severe
2,9,2020-05-02,Light
2,240,2020-10-11,Light
1,163,2020-01-28,Severe
2,467,2020-09-29,Light
1,112,2020-09-09,Severe
2,426,2020-07-03,Light
2,487,2020-06-19,Moderate
1,1020,2020-07-16,Severe
1,3,2020-03-15,Severe
1,1254,2020-03-19,Severe
3,829,2020-01-23,Light
2,760,2020-02-20,Light
2,208,2020-08-29,Moderate
2,1255,2020-08-23,Light
2,1256,2020-09-18,Light
2,329,2020-01-02,Light
2,1257,2020-07-27,Light
1,1258,2020-10-20,Severe
2,100,2020-02-10,Light
2,681,2020-07-07,Light
2,1259,2020-03-11,Light
2,24,2020-02-11,Light
2,558,2020-04-20,Light
2,234,2020-03-10,Light
2,1260,2020-04-25,Light
3,176,2020-01-09,Light
3,598,2020-10-19,Light
2,1261,2020-06-19,Light
1,986,2020-08-26,Severe
6,875,2020-01-12,Severe
1,998,2020-09-27,Severe
1,1262,2020-04-17,Severe
2,656,2020-08-16,Light
3,1263,2020-11-07,Light
2,385,2020-01-02,Light
1,234,2020-07-05,Severe
2,992,2020-05-24,Light
2,622,2020-08-25,Light
1,368,2020-10-15,Severe
2,441,2020-07-24,Light
3,723,2020-02-18,Light
1,822,2020-02-05,Severe
2,625,2020-11-12,Light
3,1264,2020-01-11,Light
1,682,2020-09-28,Severe
3,171,2020-12-14,Light
1,273,2020-10-08,Severe
2,1170,2020-11-10,Light
2,26,2020-09-17,Light
2,1265,2020-12-19,Light
1,163,2020-04-24,Severe
2,151,2020-02-18,Light
1,59,2020-12-20,Severe
4,1266,2020-08-11,UNK
2,1267,2020-10-09,Light
2,1268,2020-02-22,Light
2,474,2020-11-26,Light
4,866,2020-05-28,UNK
2,541,2020-04-23,Light
2,1132,2020-03-15,Light
1,1269,2020-01-10,Severe
1,875,2020-05-01,Moderate
2,1079,2020-05-18,Moderate
1,804,2020-09-08,Severe
1,1270,2020-05-18,Severe
1,104,2020-03-14,Severe
3,685,2020-02-08,Moderate
2,1271,2020-01-22,Light
2,1272,2020-04-24,Light
2,1040,2020-03-20,Light
1,182,2020-01-14,Severe
1,1273,2020-01-19,Moderate
4,902,2020-06-23,UNK
2,816,2020-08-23,Light
2,916,2020-10-18,Moderate
2,1274,2020-01-24,Light
2,156,2020-04-23,Moderate
1,500,2020-12-30,Severe
3,424,2020-12-25,Light
2,978,2020-03-30,Light
2,234,2020-10-28,Light
2,1275,2020-11-13,Light
2,1041,2020-09-25,Light
2,384,2020-04-02,Light
4,1276,2020-05-18,UNK
1,461,2020-01-23,Severe
2,389,2020-02-12,Heavy
2,223,2020-02-06,Light
2,1126,2020-06-29,Light
2,69,2020-09-10,Light
2,314,2020-08-10,Light
1,691,2020-05-14,Severe
2,240,2020-05-20,Light
2,474,2020-01-25,Light
2,499,2020-05-18,Light
2,541,2020-12-26,Light
2,1277,2020-06-30,Light
2,319,2020-01-10,Light
4,721,2020-05-19,UNK
2,257,2020-10-24,Heavy
1,27,2020-07-01,Severe
2,1019,2020-04-13,Light
2,1278,2020-12-03,Light
2,509,2020-02-09,Light
2,139,2020-09-22,Light
1,1279,2020-01-14,Severe
5,1280,2020-07-19,Severe
3,640,2020-12-23,Moderate
2,950,2020-04-13,Light
1,1281,2020-02-24,Severe
2,813,2020-02-22,Light
2,919,2020-05-27,Heavy
4,192,2020-09-22,UNK
2,219,2020-11-30,Moderate
4,36,2020-07-14,UNK
2,59,2020-08-30,Moderate
2,444,2020-05-20,Light
2,1038,2020-11-01,Light
2,1079,2020-04-09,Light
2,91,2020-06-05,Light
2,1283,2020-11-21,Light
1,1284,2020-06-10,Moderate
2,1236,2020-07-09,Light
2,418,2020-08-27,Light
2,462,2020-05-26,Light
2,5,2020-03-23,Light
2,373,2020-07-06,Light
1,642,2020-10-27,Severe
3,42,2020-02-12,Moderate
2,430,2020-01-04,Light
1,460,2020-11-25,Severe
2,1286,2020-02-06,Moderate
2,5,2020-03-10,Light
2,1287,2020-08-10,Light
2,1085,2020-03-18,Moderate
2,743,2020-11-29,Light
2,159,2020-03-24,Light
2,419,2020-03-02,Light
2,980,2020-10-10,Light
2,472,2020-02-25,Light
2,332,2020-11-01,Light
2,460,2020-09-23,Moderate
2,573,2020-02-06,Light
1,522,2020-09-11,Moderate
2,702,2020-12-23,Light
1,1288,2020-10-09,Severe
2,1289,2020-07-16,Light
2,296,2020-10-11,Light
2,935,2020-11-22,Light
2,597,2020-10-13,Light
2,383,2020-01-27,Light
2,1199,2020-11-09,Moderate
2,1174,2020-08-26,Light
1,1003,2020-08-26,Severe
5,55,2020-04-08,Severe
2,200,2020-09-07,Light
1,1187,2020-08-14,Severe
2,160,2020-08-31,Light
2,1290,2020-10-29,Light
2,488,2020-03-17,Light
2,1291,2020-05-13,Light
2,656,2020-03-12,Light
1,570,2020-10-03,Moderate
2,1292,2020-05-08,Light
1,1293,2020-03-11,Severe
2,1294,2020-11-12,Light
1,1258,2020-06-23,Severe
1,1295,2020-08-14,Severe
2,548,2020-04-29,Light
1,76,2020-08-04,Moderate
1,1296,2020-12-07,Severe
2,1297,2020-01-25,Light
3,1011,2020-04-21,Light
2,1298,2020-10-28,Light
1,344,2020-09-27,Moderate
1,1036,2020-02-16,Severe
2,220,2020-02-25,Moderate
1,41,2020-11-02,Moderate
5,605,2020-06-16,Severe
2,1299,2020-02-25,Light
2,26,2020-06-25,Heavy
2,19,2020-09-17,Light
2,324,2020-03-17,Light
2,1090,2020-10-22,Light
2,261,2020-11-23,Light
1,462,2020-01-24,Moderate
3,521,2020-02-27,Light
1,47,2020-08-14,Severe
2,617,2020-07-23,Light
2,735,2020-10-22,Light
2,364,2020-02-10,Light
2,221,2020-02-19,Light
2,1300,2020-09-23,Light
1,1140,2020-03-12,Severe
2,408,2020-01-02,Light
2,363,2020-03-19,Light
2,1009,2020-05-11,Light
2,926,2020-05-08,Light
2,95,2020-08-21,Light
4,105,2020-06-24,UNK
2,13,2020-07-15,Light
3,277,2020-03-03,Light
2,596,2020-06-04,Heavy
4,260,2020-07-10,UNK
2,81,2020-05-23,Light
2,647,2020-07-10,Moderate
2,3,2020-10-28,Light
5,688,2020-11-18,Severe
2,1301,2020-05-28,Light
1,57,2020-03-24,Severe
2,29,2020-09-30,Light
3,347,2020-01-17,Light
1,692,2020-11-14,Severe
3,1090,2020-01-30,Light
3,640,2020-02-19,Light
2,896,2020-08-06,Light
2,233,2020-10-05,Light
1,1302,2020-09-22,Severe
2,969,2020-01-03,Light
3,333,2020-03-22,Heavy
1,867,2020-08-22,Severe
2,746,2020-05-14,Light
2,372,2020-05-23,Light
2,888,2020-08-01,Light
2,123,2020-10-28,Moderate
3,1303,2020-02-01,Light
2,378,2020-06-05,Light
2,1304,2020-08-09,Light
6,644,2020-01-18,Severe
1,18,2020-08-19,Severe
5,417,2020-11-07,Severe
2,247,2020-05-27,Moderate
2,1305,2020-07-28,Heavy
2,109,2020-12-30,Light
2,649,2020-05-16,Light
1,35,2020-10-27,Severe
2,1086,2020-04-01,Light
1,1306,2020-01-19,Severe
2,1307,2020-04-27,Light
2,309,2020-09-25,Light
2,262,2020-02-12,Light
2,449,2020-04-29,Light
1,314,2020-07-11,Severe
1,902,2020-09-04,Severe
2,546,2020-02-28,Light
2,147,2020-04-16,Light
4,468,2020-10-23,UNK
2,1308,2020-07-24,Light
2,347,2020-03-22,Light
2,275,2020-07-30,Light
3,109,2020-11-22,Moderate
1,339,2020-06-10,Severe
2,1159,2020-07-06,Light
2,1309,2020-11-16,Light
1,307,2020-12-12,Severe
2,1100,2020-03-13,Light
2,602,2020-09-30,Light
2,115,2020-04-18,Light
4,362,2020-01-11,UNK
1,718,2020-07-02,Severe
1,375,2020-09-25,Severe
2,1139,2020-07-24,Light
2,1310,2020-09-18,Light
1,625,2020-10-22,Severe
2,1122,2020-12-13,Light
3,525,2020-04-12,Light
5,1311,2020-04-27,Severe
2,444,2020-06-05,Light
2,2,2020-02-19,Light
2,307,2020-01-05,Light
4,480,2020-05-25,UNK
2,608,2020-03-03,Light
2,1312,2020-03-03,Light
2,1265,2020-07-01,Light
2,640,2020-09-23,Light
3,412,2020-10-26,Light
3,714,2020-12-28,Light
1,773,2020-06-27,Severe
1,1003,2020-12-11,Severe
2,815,2020-01-04,Light
3,371,2020-12-14,Moderate
2,137,2020-01-16,Moderate
1,1042,2020-12-31,Severe
1,69,2020-04-08,Severe
1,386,2020-08-14,Moderate
6,1313,2020-05-10,Severe
2,302,2020-10-26,Light
4,486,2020-11-11,UNK
3,360,2020-11-17,Light
2,1314,2020-09-10,Light
2,1238,2020-04-29,Light
2,534,2020-03-31,Moderate
2,348,2020-06-17,Light
3,1033,2020-01-18,Light
1,165,2020-11-10,Severe
2,242,2020-12-01,Light
1,534,2020-04-04,Severe
1,991,2020-12-08,Moderate
1,1151,2020-11-26,Severe
2,743,2020-04-04,Light
1,1054,2020-02-17,Moderate
2,208,2020-04-13,Moderate
2,331,2020-11-17,Light
2,404,2020-10-31,Moderate
5,127,2020-04-20,Severe
2,836,2020-04-23,Light
3,552,2020-12-23,Light
3,1056,2020-03-01,Light
2,56,2020-02-25,Light
5,90,2020-10-04,Severe
4,886,2020-09-09,UNK
1,509,2020-06-04,Moderate
1,875,2020-05-28,Severe
1,138,2020-05-11,Severe
2,601,2020-04-10,Light
3,1315,2020-01-13,Light
2,825,2020-07-22,Light
2,420,2020-12-06,Light
1,1316,2020-10-14,Severe
1,1317,2020-04-30,Severe
1,570,2020-01-14,Severe
2,653,2020-12-16,Light
2,587,2020-08-15,Light
2,321,2020-05-17,Light
2,932,2020-10-03,Light
3,114,2020-04-17,Light
3,1318,2020-01-16,Heavy
1,972,2020-03-03,Severe
2,75,2020-04-12,Light
2,40,2020-03-11,Light
2,1319,2020-12-14,Light
2,466,2020-05-13,Light
2,1320,2020-07-04,Light
3,1264,2020-01-29,Light
3,698,2020-02-27,Light
3,1207,2020-03-16,Light
2,59,2020-11-11,Light
2,456,2020-06-05,Light
2,219,2020-09-27,Heavy
2,120,2020-05-28,Light
1,737,2020-01-14,Severe
2,105,2020-07-22,Heavy
1,1321,2020-10-07,Severe
2,361,2020-12-16,Light
2,1099,2020-06-09,Moderate
2,1147,2020-03-23,Light
1,1322,2020-05-09,Severe
1,46,2020-03-26,Severe
5,593,2020-11-12,Severe
2,345,2020-06-29,Light
2,529,2020-09-12,Light
3,224,2020-11-24,Light
2,1195,2020-11-24,Light
2,603,2020-04-24,Light
3,163,2020-02-05,Light
1,633,2020-04-02,Moderate
2,1082,2020-09-23,Light
1,396,2020-02-19,Moderate
2,1295,2020-08-12,Light
2,215,2020-08-21,Light
1,1323,2020-03-11,Severe
2,577,2020-08-31,Light
2,1092,2020-01-27,Light
2,1324,2020-08-23,Light
1,579,2020-07-15,Moderate
3,396,2020-12-16,Light
1,951,2020-09-18,Moderate
2,2,2020-12-16,Light
2,934,2020-09-28,Light
2,138,2020-12-12,Light
2,1099,2020-10-29,Light
3,1169,2020-10-21,Moderate
2,641,2020-01-19,Moderate
2,518,2020-02-27,Light
1,56,2020-01-28,Moderate
1,35,2020-07-11,Moderate
1,263,2020-11-16,Moderate
2,455,2020-05-19,Light
1,1326,2020-07-30,Severe
1,569,2020-10-25,Severe
2,215,2020-03-30,Light
1,1137,2020-10-11,Severe
1,1191,2020-12-23,Severe
2,414,2020-05-29,Moderate
3,1203,2020-03-20,Moderate
2,114,2020-05-18,Light
1,346,2020-09-09,Severe
1,1327,2020-01-28,Severe
2,299,2020-03-28,Light
2,980,2020-07-20,Light
1,1246,2020-09-20,Severe
1,414,2020-12-21,Severe
2,1040,2020-07-30,Light
2,1230,2020-02-06,Light
1,692,2020-01-31,Moderate
3,852,2020-01-08,Light
2,910,2020-06-08,Moderate
1,824,2020-11-03,Severe
1,1328,2020-03-22,Severe
2,159,2020-09-17,Light
1,302,2020-10-11,Severe
2,59,2020-09-17,Light
2,94,2020-07-02,Light
2,406,2020-04-12,Light
2,424,2020-03-29,Light
2,321,2020-11-23,Light
2,1329,2020-05-21,Light
2,1330,2020-03-13,Moderate
3,474,2020-01-18,Light
2,524,2020-04-05,Light
4,1029,2020-11-25,UNK
2,771,2020-09-28,Light
1,1331,2020-05-21,Severe
2,176,2020-03-06,Moderate
2,681,2020-05-14,Moderate
1,138,2020-09-30,Severe
1,896,2020-09-26,Severe
2,1332,2020-12-13,Light
2,1258,2020-08-24,Light
2,1334,2020-10-22,Light
5,744,2020-09-01,Severe
2,227,2020-05-24,Light
1,1147,2020-11-05,Severe
2,866,2020-06-07,Light
2,516,2020-11-25,Moderate
2,758,2020-04-13,Moderate
2,360,2020-05-19,Light
6,295,2020-04-09,Severe
1,996,2020-09-09,Moderate
2,269,2020-05-28,Moderate
2,204,2020-02-08,Light
3,1203,2020-04-14,Light
2,242,2020-10-27,Light
1,382,2020-01-03,Severe
2,980,2020-02-07,Light
1,579,2020-09-05,Moderate
2,3,2020-04-29,Heavy
2,5,2020-03-04,Light
2,662,2020-05-09,Light
2,404,2020-04-26,Moderate
5,344,2020-02-03,Severe
1,1335,2020-01-22,Severe
3,212,2020-01-18,Light
2,76,2020-05-24,Light
2,1132,2020-07-23,Heavy
2,234,2020-01-24,Moderate
3,641,2020-11-23,Light
1,1016,2020-08-21,Severe
2,1337,2020-12-05,Light
2,253,2020-09-29,Moderate
2,603,2020-12-16,Moderate
2,1230,2020-01-13,Light
1,1338,2020-10-26,Severe
2,563,2020-03-14,Light
2,118,2020-01-02,Moderate
1,994,2020-10-27,Severe
2,1314,2020-05-12,Light
3,745,2020-01-05,Light
2,160,2020-09-26,Light
1,322,2020-10-05,Severe
2,178,2020-09-11,Heavy
3,264,2020-11-13,Light
2,147,2020-10-11,Moderate
1,242,2020-04-26,Severe
2,176,2020-01-10,Moderate
2,164,2020-03-18,Light
1,28,2020-07-04,Moderate
2,1340,2020-10-11,Light
1,1341,2020-02-17,Severe
2,323,2020-10-20,Light
2,461,2020-01-10,Light
2,895,2020-08-21,Light
1,957,2020-04-22,Moderate
3,1343,2020-02-07,Light
2,398,2020-08-29,Light
2,91,2020-05-22,Light
1,419,2020-10-22,Severe
2,735,2020-07-21,Light
2,187,2020-10-24,Moderate
2,776,2020-04-08,Light
3,1060,2020-12-22,Light
1,1081,2020-06-16,Severe
2,223,2020-09-11,Light
2,32,2020-10-28,Light
1,520,2020-06-25,Severe
1,836,2020-01-14,Severe
3,1207,2020-12-24,Light
2,268,2020-01-04,Light
2,374,2020-09-30,Moderate
2,987,2020-04-09,Light
2,810,2020-06-08,Light
1,587,2020-08-24,Severe
2,628,2020-10-28,Light
2,203,2020-11-15,Moderate
2,1230,2020-06-17,Light
2,287,2020-03-24,Light
1,419,2020-05-15,Severe
2,65,2020-03-30,Light
2,1344,2020-01-13,Light
3,829,2020-10-21,Light
2,409,2020-06-09,Moderate
2,137,2020-12-02,Light
2,1345,2020-02-19,Light
3,209,2020-01-23,Light
3,73,2020-12-22,Light
2,1298,2020-03-31,Light
2,761,2020-01-04,Light
2,1346,2020-03-02,Light
2,1292,2020-03-05,Light
1,503,2020-11-12,Severe
2,1347,2020-02-22,Light
2,1072,2020-01-03,Light
2,754,2020-09-08,Light
1,423,2020-08-07,Severe
2,585,2020-10-10,Light
2,1005,2020-05-26,Light
3,972,2020-02-26,Moderate
2,144,2020-01-18,Light
1,1348,2020-10-21,Severe
1,699,2020-07-09,Severe
2,980,2020-12-07,Light
3,324,2020-12-16,Light
2,339,2020-06-23,Light
1,94,2020-01-17,Moderate
2,56,2020-04-13,Moderate
2,1166,2020-08-31,Moderate
2,1349,2020-01-04,Heavy
2,1110,2020-10-17,Light
2,791,2020-04-25,Light
2,1165,2020-01-25,Light
1,1157,2020-01-19,Moderate
1,888,2020-08-30,Severe
3,646,2020-12-06,Light
3,960,2020-04-12,Light
2,1021,2020-11-15,Light
2,243,2020-04-28,Light
1,617,2020-11-06,Severe
2,171,2020-06-24,Light
1,741,2020-05-30,Moderate
3,1351,2020-01-29,Light
1,515,2020-09-14,Severe
1,247,2020-09-26,Severe
1,1209,2020-05-15,Severe
2,1087,2020-04-23,Light
1,46,2020-04-11,Severe
2,1352,2020-09-11,Light
2,1353,2020-05-18,Light
2,386,2020-03-29,Light
1,1354,2020-01-15,Severe
2,953,2020-01-29,Light
2,47,2020-09-03,Light
2,1355,2020-08-03,Light
1,1356,2020-01-23,Moderate
2,480,2020-05-25,Light
1,958,2020-07-06,Moderate
2,205,2020-02-19,Light
3,941,2020-02-15,Light
2,225,2020-01-02,Light
4,402,2020-05-25,UNK
3,730,2020-01-19,Light
2,861,2020-05-22,Light
2,501,2020-01-28,Light
2,82,2020-10-01,Light
2,521,2020-05-14,Light
2,1047,2020-03-17,Light
1,71,2020-07-11,Severe
2,969,2020-10-10,Moderate
3,1229,2020-03-14,Heavy
1,737,2020-09-26,Severe
2,169,2020-09-10,Light
2,1322,2020-04-09,Light
2,653,2020-11-30,Moderate
1,786,2020-06-17,Severe
2,321,2020-03-23,Light
3,1357,2020-01-23,Light
1,465,2020-12-12,Severe
2,26,2020-01-04,Light
3,640,2020-05-09,Light
3,1358,2020-12-02,Light
1,912,2020-10-08,Moderate
2,247,2020-02-19,Light
2,216,2020-03-10,Light
1,29,2020-01-14,Severe
3,1360,2020-01-31,Light
1,870,2020-09-08,Severe
2,1,2020-08-02,Light
1,231,2020-09-03,Severe
2,978,2020-01-26,Light
3,387,2020-11-10,Light
1,832,2020-10-12,Severe
1,362,2020-03-05,Severe
2,1361,2020-11-27,Light
2,764,2020-03-13,Light
2,520,2020-08-02,Light
2,465,2020-09-22,Light
2,661,2020-11-24,Light
1,429,2020-04-24,Severe
1,1074,2020-12-23,Severe
2,321,2020-07-15,Light
1,1363,2020-02-20,Severe
1,162,2020-10-19,Severe
2,204,2020-09-19,Light
2,5,2020-07-22,Light
2,168,2020-06-22,Light
2,147,2020-05-04,Light
1,1166,2020-05-25,Moderate
1,138,2020-07-04,Moderate
2,73,2020-01-06,Light
2,1365,2020-10-25,Light
3,1157,2020-12-11,Heavy
2,1211,2020-10-16,Light
1,18,2020-03-17,Severe
3,490,2020-12-06,Light
2,809,2020-07-15,Light
2,450,2020-01-12,Moderate
1,710,2020-01-25,Severe
2,1366,2020-12-05,Light
1,1064,2020-03-12,Severe
2,817,2020-10-22,Light
1,442,2020-09-10,Severe
3,1198,2020-03-23,Moderate
2,1188,2020-12-11,Light
1,1099,2020-04-06,Severe
2,1367,2020-06-17,Light
2,145,2020-11-05,Light
1,166,2020-03-04,Severe
5,1368,2020-07-24,Severe
2,366,2020-06-10,Light
1,741,2020-10-03,Moderate
2,540,2020-01-01,Light
2,1046,2020-09-09,Light
2,734,2020-01-04,Light
3,448,2020-01-19,Light
2,639,2020-06-10,Light
1,386,2020-06-23,Severe
1,210,2020-10-02,Severe
2,305,2020-09-17,Light
2,667,2020-03-29,Light
2,22,2020-10-25,Light
2,11,2020-02-19,Light
1,1125,2020-03-29,Severe
1,196,2020-07-18,Moderate
2,736,2020-01-16,Light
2,155,2020-09-17,Light
2,383,2020-04-23,Light
2,763,2020-07-11,Light
2,923,2020-05-20,Light
2,16,2020-11-09,Light
2,588,2020-09-18,Light
2,1321,2020-10-28,Moderate
3,213,2020-02-11,Light
2,797,2020-02-06,Heavy
1,641,2020-05-22,Severe
2,139,2020-11-10,Light
2,971,2020-01-23,Light
2,792,2020-02-25,Light
2,1076,2020-01-18,Light
4,422,2020-07-06,UNK
1,336,2020-10-12,Severe
3,324,2020-02-08,Light
2,203,2020-10-25,Light
2,743,2020-05-31,Light
1,670,2020-10-21,Moderate
2,804,2020-02-06,Light
1,311,2020-01-15,Severe
2,1252,2020-03-18,Light
2,260,2020-04-29,Light
2,641,2020-02-06,Light
2,1369,2020-06-03,Light
2,1170,2020-05-18,Light
3,1184,2020-11-22,Heavy
2,47,2020-04-27,Light
3,561,2020-01-15,Light
4,770,2020-05-25,UNK
1,346,2020-09-02,Severe
2,11,2020-06-15,Light
3,1370,2020-03-12,Light
2,857,2020-09-26,Light
2,1371,2020-05-26,Light
1,670,2020-03-14,Moderate
2,1372,2020-09-12,Light
2,553,2020-05-19,Light
2,1373,2020-10-21,Light
2,60,2020-09-09,Light
1,1374,2020-12-19,Severe
2,1375,2020-05-18,Light
2,548,2020-01-22,Light
1,639,2020-12-31,Severe
1,5,2020-10-12,Severe
1,1197,2020-09-01,Severe
1,55,2020-10-14,Severe
2,302,2020-06-22,Light
2,117,2020-03-04,Light
2,843,2020-06-20,Light
2,766,2020-03-17,Light
4,1005,2020-08-14,UNK
1,1344,2020-12-21,Severe
2,836,2020-12-30,Light
1,1376,2020-02-29,Severe
2,1104,2020-10-31,Light
2,565,2020-03-19,Light
2,608,2020-09-25,Light
1,725,2020-01-18,Severe
1,1377,2020-08-31,Severe
2,1291,2020-09-08,Light
1,112,2020-08-22,Severe
1,567,2020-05-19,Severe
1,527,2020-06-03,Severe
2,661,2020-05-08,Light
3,27,2020-04-16,Light
1,215,2020-06-21,Severe
2,743,2020-04-18,Light
3,1225,2020-12-21,Light
2,640,2020-08-11,Light
3,1177,2020-01-02,Light
2,305,2020-03-14,Light
2,198,2020-03-10,Light
5,876,2020-12-29,Severe
2,364,2020-08-31,Light
2,482,2020-07-21,Heavy
3,283,2020-11-15,Light
